"Emri","Gjinia","Frekuenca"
"Krisanth","F","5"
"Krisantha","F","1"
"Krisanthi","F","244"
"Krisanthi","M","6"
"Krisanthipe","F","1"
"Krisantho","F","1"
"Krisantho","M","1"
"Krisar","M","1"
"Krisara","F","1"
"Krisard","M","1"
"Krisart","M","2"
"Krisathi","F","1"
"Krisavela","F","1"
"Krisavgji","F","37"
"Krisavgjia","F","2"
"Krisavi","F","2"
"Krisavji","F","2"
"Krisdior","M","1"
"Krisdona","F","1"
"Krisea","F","2"
"Kriseb","M","2"
"Kriseda","F","2"
"Kriseid","M","1"
"Kriseida","F","8"
"Krisejda","F","6"
"Krisel","M","37"
"Krisel","F","8"
"Krisela","F","79"
"Kriseld","M","24"
"Kriselda","F","130"
"Kriselda","M","4"
"Kriseldi","M","2"
"Kriseldo","M","6"
"Kriselia","F","1"
"Kriselo","M","1"
"Kriselta","F","1"
"Krisen","M","1"
"Krisend","M","1"
"Kriseni","M","1"
"Kriserd","M","1"
"Krisi","M","43"
"Krisi","F","20"
"Krisialda","F","1"
"Krisian","M","11"
"Krisiana","F","8"
"Krisianthi","F","1"
"Krisid","M","2"
"Krisida","F","14"
"Krisiel","M","1"
"Krisield","M","1"
"Krisielda","F","1"
"Krisil","M","1"
"Krisila","F","4"
"Krisild","M","11"
"Krisilda","F","114"
"Krisilda","M","1"
"Krisildi","M","13"
"Krisildo","M","4"
"Krisilta","F","1"
"Krisind","M","1"
"Krisinda","F","1"
"Krisiofor","M","1"
"Krisiola","F","1"
"Krisiolda","F","2"
"Krision","M","1"
"Krisirda","F","1"
"Krisit","M","1"
"Krisita","F","1"
"Krisitian","M","1"
"Krisitiana","F","1"
"Krisja","M","1"
"Krisjan","M","20"
"Krisjan","F","1"
"Krisjana","F","17"
"Krisjana","M","1"
"Krisjaneda","F","1"
"Krisjano","M","2"
"Krisjeda","F","1"
"Krisjeda","M","1"
"Krisjel","M","2"
"Krisjela","F","3"
"Krisjen","M","1"
"Krisjjan","M","1"
"Krisjo","M","1"
"Krisjola","F","1"
"Krisjolda","F","2"
"Krisjon","M","4"
"Krisjor","M","1"
"Krisla","F","4"
"Krislan","M","1"
"Krisland","M","2"
"Krislanda","F","1"
"Krisler","M","1"
"Krisli","F","12"
"Krisli","M","12"
"Krislin","F","4"
"Krislind","M","3"
"Krislinda","F","5"
"Krisljano","M","1"
"Krislli","M","1"
"Krismal","M","1"
"Krisman","M","1"
"Krismanda","F","1"
"Krismando","M","1"
"Krismanuel","M","1"
"Krismela","F","1"
"Krismo","M","1"
"Krisnela","F","1"
"Krisneva","F","1"
"Kriso","F","2"
"Kriso","M","1"
"Krisofor","M","1"
"Krisol","M","1"
"Krisola","F","3"
"Krisold","M","1"
"Krisolti","M","1"
"Krison","M","3"
"Krisostom","M","1"
"Krisovalandi","M","1"
"Krispa","F","5"
"Krispa","M","1"
"Kriss","M","2"
"Kriss","F","1"
"Krist","M","98"
"Krist","F","11"
"Kristsanto","M","1"
"Krista","F","105"
"Krista","M","10"
"Kristabel","F","1"
"Kristabel","M","1"
"Kristabela","F","4"
"Kristafgji","F","1"
"Kristag","M","82"
"Kristag","F","1"
"Kristagji","F","1"
"Kristagjie","F","1"
"Kristal","M","42"
"Kristal","F","19"
"Kristalba","F","1"
"Kristald","M","1"
"Kristalda","F","2"
"Kristaldo","M","4"
"Kristalena","F","1"
"Kristalenj","F","1"
"Kristali","F","2"
"Kristali","M","2"
"Kristalia","F","7"
"Kristalina","F","17"
"Kristalina","M","1"
"Kristalinda","F","2"
"Kristalva","F","1"
"Kristallo","F","2"
"Kristamthi","F","1"
"Kristan","M","24"
"Kristan","F","1"
"Kristana","F","5"
"Kristandon","M","1"
"Kristane","F","1"
"Kristanela","F","1"
"Kristanka","F","1"
"Kristano","F","1"
"Kristano","M","1"
"Kristanth","F","1"
"Kristanthi","F","18"
"Kristanthja","F","2"
"Kristantho","M","1"
"Kristanja","F","1"
"Kristanjo","M","1"
"Kristaq","M","1566"
"Kristaq","F","8"
"Kristaqi","M","1"
"Kristar","M","50"
"Kristas","M","1"
"Kristaugji","F","1"
"Kristavagji","F","1"
"Kristavgji","F","22"
"Kristavi","F","1"
"Kriste","F","5"
"Kristea","F","1"
"Kristeid","M","1"
"Kristel","F","189"
"Kristel","M","58"
"Kristela","F","314"
"Kristela","M","7"
"Kristelbora","F","1"
"Kristeld","F","1"
"Kristelda","F","6"
"Kristelë","F","1"
"Kristeli","M","2"
"Kristeli","F","1"
"Kristelia","F","1"
"Kristelio","M","2"
"Kristeljo","M","2"
"Kristelo","M","1"
"Kristell","F","2"
"Kristella","F","1"
"Kristen","F","15"
"Kristen","M","13"
"Kristeo","M","3"
"Krister","M","3"
"Krister","F","1"
"Kristeros","M","1"
"Kristersen","M","1"
"Kristëll","F","2"
"Kristfe","F","1"
"Kristi","M","2469"
"Kristi","F","316"
"Kristianastas","M","1"
"Kristia","F","20"
"Kristia","M","5"
"Kristialdo","M","1"
"Kristiam","M","13"
"Kristiam","F","1"
"Kristian","M","2144"
"Kristian","F","48"
"Kristiana","F","847"
"Kristiana","M","16"
"Kristiand","M","1"
"Kristiane","F","1"
"Kristiane","M","1"
"Kristianelo","M","1"
"Kristianë","F","1"
"Kristiani","M","23"
"Kristiano","M","139"
"Kristiano","F","1"
"Kristianparis","M","1"
"Kristianthi","F","1"
"Kristiar","M","1"
"Kristida","F","4"
"Kristidh","M","1"
"Kristidha","F","2"
"Kristidha","M","1"
"Kristiel","M","3"
"Kristiel","F","1"
"Kristiela","F","1"
"Kristien","M","2"
"Kristiena","F","1"
"Kristijan","M","20"
"Kristijana","F","1"
"Kristijano","M","1"
"Kristijona","F","1"
"Kristika","F","1"
"Kristika","M","1"
"Kristil","M","3"
"Kristila","F","2"
"Kristilda","F","7"
"Kristildo","M","2"
"Kristilinda","F","1"
"Kristima","F","29"
"Kristima","M","2"
"Kristin","F","68"
"Kristin","M","28"
"Kristina","F","5629"
"Kristina","M","90"
"Kristinairini","F","1"
"Kristine","F","76"
"Kristinë","F","31"
"Kristini","M","1"
"Kristinko","M","1"
"Kristino","F","6"
"Kristino","M","4"
"Kristiol","M","1"
"Kristiola","F","7"
"Kristion","M","6"
"Kristiona","F","4"
"Kristirula","F","1"
"Kristis","F","1"
"Kristis","M","1"
"Kristius","M","1"
"Kristiv","M","1"
"Kristja","F","21"
"Kristja","M","7"
"Kristjaldo","M","1"
"Kristjan","M","1903"
"Kristjan","F","49"
"Kristjanpanajot","M","1"
"Kristjana","F","969"
"Kristjana","M","19"
"Kristjane","F","8"
"Kristjani","M","34"
"Kristjani","F","1"
"Kristjano","M","110"
"Kristjano","F","5"
"Kristjanthi","F","1"
"Kristjanula","F","1"
"Kristjela","F","4"
"Kristjne","F","1"
"Kristjoan","M","1"
"Kristjol","M","2"
"Kristjola","F","3"
"Kristjon","M","14"
"Kristjona","F","3"
"Kristjono","M","1"
"Kristla","F","1"
"Kristler","M","1"
"Kristli","F","3"
"Kristli","M","1"
"Kristlin","M","1"
"Kristlind","M","2"
"Kristlinda","F","3"
"Kristna","F","1"
"Kristne","F","3"
"Kristnela","F","1"
"Kristo","M","1603"
"Kristo","F","17"
"Kristovasil","M","1"
"Kristobali","M","1"
"Kristobela","F","1"
"Kristoel","M","1"
"Kristof","M","4"
"Kristofer","M","21"
"Kristoferi","M","1"
"Kristofili","F","2"
"Kristofon","M","3"
"Kristofor","M","187"
"Kristofor","F","2"
"Kristofor-ferdinant","M","1"
"Kristofora","F","2"
"Kristofore","M","1"
"Kristoforidh","M","1"
"Kristoforos","M","2"
"Kristogert","M","1"
"Kristojani","M","1"
"Kristol","M","1"
"Kristomas","M","1"
"Kriston","M","6"
"Kristoq","M","1"
"Kristor","M","2"
"Kristos","M","40"
"Kristos","F","2"
"Kristostom","M","4"
"Kristothera","F","1"
"Kristovalant","M","1"
"Kristovan","M","1"
"Kristovana","F","1"
"Kristovgji","F","1"
"Kristovilana","F","1"
"Kristuena","F","1"
"Kristul","M","23"
"Kristula","F","6"
"Kristulla","F","39"
"Kristulla","M","1"
"Kristvan","M","1"
"Kristhina","F","1"
"Krisuana","F","1"
"Krisul","M","1"
"Krisula","F","27"
"Krisull","F","1"
"Krisulla","F","52"
"Krisvgji","F","1"
"Krishel","M","1"
"Krisheld","F","1"
"Krishent","M","1"
"Krishnik","M","1"
"Krishtlind","M","1"
"Krishton","M","1"
"Krishulla","F","1"
"Kritan","M","1"
"Kritens","M","2"
"Kriti","F","2"
"Kriti","M","1"
"Krition","M","1"
"Kritjon","M","2"
"Kriton","M","7"
"Kritstaq","M","1"
"Krithasi","F","1"
"Krivis","M","1"
"Krizelda","F","1"
"Krizes","M","1"
"Krjgiina","F","1"
"Krjsi","F","1"
"Krjstiana","F","1"
"Krjstjan","M","1"
"Kroatilda","F","1"
"Kroel","M","2"
"Kroi","M","1"
"Kroif","M","1"
"Krojan","M","1"
"Krojana","F","1"
"Krojfi","M","1"
"Krojza","F","1"
"Krolinda","F","1"
"Kron","M","7"
"Kroni","M","13"
"Kronilda","F","1"
"Kros","M","4"
"Kroselda","F","1"
"Krosilda","F","1"
"Krosjola","F","1"
"Krste","M","8"
"Krstela","F","1"
"Krstian","M","1"
"Krstjan","M","3"
"Krtistjano","M","1"
"Krtstjan","M","1"
"Krtur","M","1"
"Kruiz","M","2"
"Kruljeta","F","1"
"Krune","M","1"
"Krupskaja","F","4"
"Krusida","F","1"
"Krusita","F","2"
"Krustina","F","1"
"Krusulla","F","1"
"Kruz","M","3"
"Kryearta","F","1"
"Kryearti","M","1"
"Kryemir","M","1"
"Kryenalt","M","1"
"Krypashako","F","1"
"Kryselda","F","1"
"Krystal","F","1"
"Ksabael","M","1"
"Ksafeta","F","1"
"Ksaida","F","1"
"Ksaine","F","1"
"Ksajla","F","1"
"Ksajmel","M","1"
"Ksajnel","M","1"
"Ksaldi","M","1"
"Ksamanta","F","1"
"Ksamdi","M","1"
"Ksamdra","F","1"
"Ksamil","M","3"
"Ksamila","F","3"
"Ksamira","F","1"
"Ksamthipi","F","1"
"Ksamuel","M","1"
"Ksana","F","5"
"Ksand","F","0"
"Ksanda","F","31"
"Ksanda","M","1"
"Ksande","F","10"
"Ksander","M","1"
"Ksandë","F","0"
"Ksandër","M","1"
"Ksandra","F","18"
"Ksandri","M","8"
"Ksandro","M","21"
"Ksandros","M","18"
"Ksandrus","M","1"
"Ksandrro","M","1"
"Ksane","F","1"
"Ksanfulla","F","1"
"Ksaniel","M","1"
"Ksanila","F","1"
"Ksanta","F","1"
"Ksante","F","1"
"Ksanti","M","10"
"Ksanti","F","1"
"Ksantia","F","3"
"Ksantiana","F","1"
"Ksantila","F","1"
"Ksantilian","M","1"
"Ksantiljan","M","1"
"Ksantina","F","1"
"Ksantipi","F","1"
"Ksantjana","F","1"
"Ksanthi","F","5"
"Ksanthinipi","F","1"
"Ksanthip","F","1"
"Ksanthipe","F","3"
"Ksanthipi","F","31"
"Ksantho","F","3"
"Ksantho","M","1"
"Ksanthula","F","1"
"Ksanthulla","F","9"
"Ksanja","F","1"
"Ksanjel","M","2"
"Ksanjela","F","3"
"Ksara","F","8"
"Ksarbela","F","1"
"Ksarina","F","1"
"Ksathipi","F","1"
"Ksavela","F","1"
"Ksaverio","M","1"
"Ksavi","M","8"
"Ksavi","F","1"
"Ksavio","M","1"
"Ksavjo","M","1"
"Ksea","F","2"
"Kseald","M","1"
"Kseandra","F","1"
"Kseandros","M","1"
"Kseda","F","1"
"Ksedi","F","1"
"Ksedi","M","1"
"Ksediljana","F","2"
"Kseidi","M","1"
"Ksejdi","M","2"
"Ksejdi","F","1"
"Ksela","F","1"
"Kseldina","F","2"
"Kselena","F","2"
"Kselijona","F","1"
"Kselino","M","1"
"Kselion","M","1"
"Kseljona","F","1"
"Ksemila","F","1"
"Ksena","F","10"
"Ksenalda","F","1"
"Kseni","F","2"
"Kseni","M","2"
"Ksenia","F","14"
"Ksenis","M","2"
"Ksennfon","M","1"
"Kseno","M","4"
"Kseno","F","1"
"Ksenofom","M","1"
"Ksenofon","M","70"
"Ksenofon","F","1"
"Ksenofonda","M","2"
"Ksenya","F","1"
"Ksenja","F","56"
"Ksenji","F","1"
"Ksenjia","F","1"
"Kseo","M","1"
"Kseonela","F","1"
"Kserana","F","2"
"Kserdi","M","6"
"Ksere","F","1"
"Kserez","M","1"
"Kseri","M","1"
"Kserida","F","1"
"Ksetana","F","1"
"Kseva","F","1"
"Ksevi","M","1"
"Ksevina","F","1"
"Ksiana","F","1"
"Ksiara","F","1"
"Ksida","F","1"
"Ksidi","M","1"
"Ksilda","F","1"
"Ksildi","M","1"
"Ksildian","M","2"
"Ksimara","F","1"
"Ksimena","F","1"
"Ksina","F","11"
"Ksiomara","F","1"
"Ksionara","F","1"
"Ksirea","F","1"
"Ksiuia","F","1"
"Ksivi","M","1"
"Ksivia","F","1"
"Ksivja","F","1"
"Ksnjela","F","1"
"Ksoçilta","F","1"
"Ksonela","F","1"
"Ksonila","F","1"
"Ksuela","F","1"
"Ksuilda","F","1"
"Ksheri","F","1"
"Ktsung","M","1"
"Ktheofil","M","1"
"Kthesa","F","1"
"Kthim","M","1"
"Kuadret","F","1"
"Kuadrete","F","0"
"Kuana","F","1"
"Kuanito","M","1"
"Kuart","M","1"
"Kuat","M","1"
"Kubra","F","1"
"Kucat","M","1"
"Kuçi","M","1"
"Kuço","M","1"
"Kudbi","M","1"
"Kudesi","M","1"
"Kudet","M","1"
"Kudian","M","1"
"Kudie","F","10"
"Kudije","F","2"
"Kudre","M","1"
"Kudrejt","M","4"
"Kudrejte","F","1"
"Kudren","M","1"
"Kudret","M","543"
"Kudret","F","48"
"Kudreta","F","1"
"Kudrete","F","302"
"Kudrete","M","3"
"Kudreti","M","4"
"Kudreti","F","1"
"Kudrije","F","1"
"Kudrret","M","1"
"Kuduri","M","1"
"Kudusi","M","6"
"Kudusim","M","1"
"Kudhel","M","1"
"Kuejda","F","1"
"Kuel","M","3"
"Kuenka","F","1"
"Kuentin","M","2"
"Kufeta","F","1"
"Kufete","F","1"
"Kufitar","M","1"
"Kuin","F","1"
"Kuin","M","1"
"Kuina","F","2"
"Kuinten","M","1"
"Kuirda","F","1"
"Kuislent","M","1"
"Kuita","F","1"
"Kuitenca","F","1"
"Kuitesa","F","1"
"Kuitim","M","18"
"Kuj","M","1"
"Kujdes","M","12"
"Kujdesa","F","5"
"Kujdese","F","114"
"Kujdese","M","1"
"Kujdesi","M","103"
"Kujdesi","F","1"
"Kujdesia","F","2"
"Kujdesia","M","1"
"Kujdesie","F","2"
"Kujdesim","M","3"
"Kujdie","F","1"
"Kujstel","M","1"
"Kujtes","F","13"
"Kujtesa","F","145"
"Kujtese","F","22"
"Kujtije","F","1"
"Kujtim","M","7729"
"Kujtim","F","42"
"Kujtimqosja","M","1"
"Kujtime","F","1043"
"Kujtime","M","12"
"Kujtimë","F","1"
"Kujtimi","M","16"
"Kujtimi","F","1"
"Kujtion","M","1"
"Kujto","M","2"
"Kukel","M","0"
"Kukerdi","M","1"
"Kukije","F","1"
"Kukli","M","1"
"Kule","F","7"
"Kulejman","M","1"
"Kuli","F","1"
"Kuli","M","1"
"Kulie","F","1"
"Kulied","M","1"
"Kuljan","M","1"
"Kultaro","M","1"
"Kulthum","F","2"
"Kulumbri","F","3"
"Kulusi","M","1"
"Kulven","M","1"
"Kulvi","M","1"
"Kulla","F","18"
"Kullira","F","1"
"Kullumbrie","F","1"
"Kuma","F","1"
"Kumander","F","2"
"Kumbie","F","1"
"Kumborie","F","1"
"Kumbrie","F","5"
"Kumbrije","F","2"
"Kumbull","F","1"
"Kumbulla","F","2"
"Kumbullore","F","1"
"Kumburie","F","1"
"Kumdret","M","1"
"Kume","F","106"
"Kume","M","2"
"Kumelda","F","1"
"Kumeri","F","2"
"Kumerie","F","3"
"Kumeta","F","1"
"Kumete","F","1"
"Kumërie","F","1"
"Kumirije","F","1"
"Kumri","F","5"
"Kumria","F","2"
"Kumrie","F","318"
"Kumrie","M","5"
"Kumrija","F","1"
"Kumrije","F","56"
"Kumrina","F","1"
"Kumrjje","F","1"
"Kumruie","F","1"
"Kumurie","F","20"
"Kumurije","F","7"
"Kundrei","M","1"
"Kundrejt","M","1"
"Kundret","M","76"
"Kundrete","F","8"
"Kundrie","F","1"
"Kune","F","41"
"Kunora","F","2"
"Kunoret","M","1"
"Kunvrie","F","1"
"Kuosta","M","1"
"Kuotim","M","1"
"Kupe","M","1"
"Kupi","M","1"
"Kur","M","1"
"Kurabi","F","1"
"Kuran","M","5"
"Kurat","M","1"
"Kuratulen","F","1"
"Kurbet","M","1"
"Kurbete","F","1"
"Kurbin","M","2"
"Kurdish","M","1"
"Kuri","M","4"
"Kurie","F","2"
"Kurim","M","1"
"Kurma","F","1"
"Kurora","F","1"
"Kursime","F","1"
"Kurshulla","F","1"
"Kurshullë","F","1"
"Kurt","M","228"
"Kurtali","M","13"
"Kurtan","M","1"
"Kurtesh","M","2"
"Kurti","M","34"
"Kurtian","M","1"
"Kurtis","M","1"
"Kurtist","M","1"
"Kurtish","M","37"
"Kurtish","F","1"
"Kurtjan","M","3"
"Kusatrim","M","1"
"Kusdesi","M","1"
"Kustim","M","159"
"Kustime","F","26"
"Kustin","M","1"
"Kustrim","M","1"
"Kusull","F","1"
"Kusuvana","M","1"
"Kush","F","7"
"Kusha","F","13"
"Kusha","M","2"
"Kushe","F","237"
"Kushe","M","2"
"Kushë","F","7"
"Kushilda","F","1"
"Kusholl","F","1"
"Kushtetuta","F","1"
"Kushtetute","F","1"
"Kushtrim","M","92"
"Kushtrim","F","2"
"Kushtrime","F","4"
"Kushtrimi","M","1"
"Kushudh","F","2"
"Kushull","F","21"
"Kushulla","F","90"
"Kushulla","M","1"
"Kushullaj","F","1"
"Kushullata","F","1"
"Kushulle","F","7"
"Kushullë","F","0"
"Kushure","F","1"
"Kutbi","M","5"
"Kutel","M","0"
"Kutie","F","1"
"Kutjon","M","1"
"Kuto","M","1"
"Kutrete","F","1"
"Kutri","M","1"
"Kuudesi","M","1"
"Kuvend","M","1"
"Kuvilka","F","1"
"Kuzaresta","F","1"
"Kuze","M","1"
"Kuzman","M","2"
"Kwndrete","F","1"
"Kyara","F","1"
"Kydet","M","1"
"Kydret","F","39"
"Kydret","M","3"
"Kydrete","F","1"
"Kyhmete","F","1"
"Kylmeda","F","1"
"Kymet","M","3"
"Kymete","F","11"
"Kyongae","F","1"
"Kyorete","F","1"
"Kysi","M","1"
"Kysmet","M","8"
"Kysmet","F","1"
"Kysmete","F","11"
"Kytbi","M","2"
"Kytmir","M","1"
"Kyungsook","F","2"
"Kyvet","M","1"
"Kyzi","M","1"
"Kyzjana","F","1"
"Kyzmete","F","2"
"Kzzant","M","1"
"L;eze","F","1"
"La*","F","1"
"Lab","M","3"
"Labe","M","2"
"Labe","F","1"
"Labeat","M","1"
"Labeate","F","1"
"Labeka","F","1"
"Labernjola","F","1"
"Laberto","M","1"
"Labeta","F","1"
"Labë","M","1"
"Labi","F","1"
"Labi","M","1"
"Labian","M","3"
"Labiatan","M","1"
"Labibe","F","1"
"Labie","F","5"
"Labik","F","5"
"Labika","F","11"
"Labike","F","43"
"Labikë","F","2"
"Labiko","F","2"
"Labina","F","1"
"Labinot","M","14"
"Labiol","M","1"
"Labiola","F","1"
"Labion","M","1"
"Labiona","F","1"
"Labite","F","1"
"Labjan","M","4"
"Labjana","F","1"
"Labjon","M","4"
"Labjona","F","2"
"Labjur","M","2"
"Labo","M","5"
"Labriana","F","1"
"Labro","M","2"
"Labureta","F","1"
"Lac","M","2"
"Lacarela","F","1"
"Lace","M","3"
"Lace","F","1"
"Lacinsena","F","1"
"Laçe","M","11"
"Laçe","F","3"
"Laçia","F","1"
"Lad","M","8"
"Lada","F","4"
"Ladaije","F","1"
"Ladan","M","1"
"Lade","F","2"
"Laden","M","1"
"Ladi","M","94"
"Ladi","F","1"
"Ladia","F","4"
"Ladian","M","2"
"Ladiela","F","1"
"Ladife","F","15"
"Ladimi","M","1"
"Ladimir","M","180"
"Ladimira","F","1"
"Ladimiri","M","1"
"Ladin","M","6"
"Ladiola","F","22"
"Ladiola","M","1"
"Ladion","M","5"
"Ladiona","F","5"
"Ladira","F","1"
"Ladisem","M","1"
"Ladisllava","F","1"
"Ladithe","F","1"
"Ladjan","M","2"
"Ladjana","F","1"
"Ladjena","F","1"
"Ladjie","M","1"
"Ladjol","M","1"
"Ladjola","F","6"
"Ladjon","M","1"
"Ladjona","F","2"
"Ladjova","F","1"
"Ladmir","M","3"
"Ladmira","F","2"
"Lado","F","5"
"Ladorela","F","1"
"Ladovik","M","19"
"Ladra","F","6"
"Ladrent","M","1"
"Ladreta","F","11"
"Ladson","M","1"
"Ladvjol","M","1"
"Ladyfe","F","1"
"Lae","F","8"
"Lae","M","1"
"Laedio","M","1"
"Laedja","F","2"
"Laefta","F","1"
"Laejza","F","1"
"Lael","M","4"
"Laens","M","1"
"Laer","M","3"
"Laerd","M","14"
"Laerda","F","1"
"Laerdi","M","1"
"Laerdo","M","1"
"Laerete","M","1"
"Laers","M","10"
"Laersa","F","3"
"Laersti","M","1"
"Laert","M","524"
"Laert","F","7"
"Laerta","F","72"
"Laerta","M","1"
"Laerti","M","37"
"Laerti","F","1"
"Laertiad","M","1"
"Laertis","M","1"
"Laerto","M","10"
"Laesja","F","1"
"Laest","M","1"
"Laet","M","1"
"Laetitia","F","1"
"Lafdrim","M","1"
"Lafe","F","2"
"Laftani","F","1"
"Lafturie","F","17"
"Lagert","M","1"
"Lagreta","F","1"
"Lah","M","1"
"Laha","F","1"
"Lahadin","M","1"
"Lahdushe","F","1"
"Lahe","F","240"
"Lahe","M","11"
"Lahert","M","5"
"Laherta","F","2"
"Lahije","F","1"
"Lahim","M","45"
"Lahja","F","1"
"Laho","M","2"
"Laho","F","1"
"Lahra","F","1"
"Lahushe","F","15"
"Laiba","F","1"
"Laibah","F","1"
"Laid","M","7"
"Laida","F","13"
"Laidan","M","1"
"Laide","F","2"
"Laiden","M","2"
"Laidi","M","4"
"Laidina","F","1"
"Laidon","M","12"
"Laidona","F","1"
"Laiim","M","1"
"Laijla","F","1"
"Laila","F","6"
"Laim","M","57"
"Laime","F","1"
"Laimer","M","1"
"Laimi","M","1"
"Laimira","F","1"
"Lainus","M","1"
"Lairta","F","1"
"Laisa","F","1"
"Laisi","M","1"
"Laisla","F","1"
"Laisveta","F","1"
"Laivi","M","1"
"Laiza","F","1"
"Laja","F","4"
"Lajan","M","2"
"Lajana","F","1"
"Lajbe","F","1"
"Lajda","F","8"
"Lajdan","M","1"
"Lajde","F","44"
"Lajde","M","1"
"Lajden","M","1"
"Lajdenis","M","1"
"Lajdi","M","7"
"Lajdie","F","1"
"Lajdina","F","2"
"Lajdjon","M","2"
"Lajdo","M","1"
"Lajdon","M","34"
"Lajdon","F","1"
"Lajdona","F","1"
"Laje","F","264"
"Laje","M","7"
"Lajeda","F","1"
"Lajerd","M","1"
"Lajers","M","1"
"Lajert","M","1"
"Lajfe","F","0"
"Laji","M","1"
"Lajk","F","1"
"Lajka","F","1"
"Lajla","F","12"
"Lajla","M","1"
"Lajle","F","3"
"Lajlela","F","1"
"Lajlie","F","1"
"Lajme","F","1"
"Lajmir","M","3"
"Lajmira","F","4"
"Lajmire","F","1"
"Lajmonda","F","1"
"Lajmone","F","1"
"Lajnus","M","1"
"Lajola","F","1"
"Lajon","M","2"
"Lajon","F","1"
"Lajona","F","2"
"Lajonard","M","1"
"Lajs","M","1"
"Lajsa","F","1"
"Lajsi","F","1"
"Lajsi","M","1"
"Lajthi","F","3"
"Lajver","M","1"
"Lajvi","M","1"
"Lajz","M","1"
"Lajza","F","7"
"Lajzon","M","1"
"Lak","M","1"
"Lake","F","17"
"Lake","M","12"
"Lakije","F","1"
"Lakime","F","1"
"Lakmir","M","2"
"Lako","M","7"
"Lako","F","3"
"Laku","M","1"
"Lal","M","2"
"Lala","F","46"
"Lala","M","1"
"Lalako","F","1"
"Lalan","M","1"
"Lalbona","F","1"
"Laldie","F","1"
"Lale","F","47"
"Lale","M","1"
"Laleta","F","1"
"Lali","M","3"
"Lalife","F","1"
"Lalifer","F","3"
"Lalifer","M","2"
"Lalifere","F","1"
"Lalini","F","1"
"Lalinur","F","2"
"Lalinure","F","1"
"Lalita","F","1"
"Lalmira","F","1"
"Lalmura","F","1"
"Lalo","F","41"
"Lalo","M","6"
"Lalot","M","0"
"Lalota","F","1"
"Lalote","F","29"
"Lalter","M","1"
"Lalunora","F","1"
"Lalush","M","4"
"Lalushe","F","1"
"Lam","M","21"
"Laman","M","1"
"Lamar","F","1"
"Lamard","M","1"
"Lamardia","F","1"
"Lambe","F","1"
"Lambe","M","1"
"Lambert","M","6"
"Lamberta","F","4"
"Lamberto","M","9"
"Lambertovittorio","M","1"
"Lambi","M","1"
"Lambiola","F","2"
"Lambjano","M","1"
"Lambjon","M","1"
"Lambrini","F","5"
"Lamce","M","7"
"Lamçe","M","26"
"Lame","M","99"
"Lame","F","20"
"Lamela","F","1"
"Lamen","M","2"
"Lamert","M","1"
"Lami","M","53"
"Lamia","F","1"
"Lamiaajsu","F","1"
"Lamie","F","2"
"Lamiela","F","1"
"Lamiha","F","4"
"Lamije","F","1"
"Lamion","M","1"
"Lamir","M","1"
"Lamira","F","2"
"Lamireldo","M","1"
"Lamjada","F","1"
"Lamjon","M","1"
"Lamko","M","1"
"Lamo","M","5"
"Lamonda","F","1"
"Lampardo","M","1"
"Lamra","F","1"
"Lamrdo","M","1"
"Lamtumira","F","5"
"Lamturie","F","1"
"Lamuel","M","1"
"Lamush","M","1"
"Lan","M","27"
"Lana","F","15"
"Lana","M","1"
"Lanardi","M","1"
"Lanbert","M","1"
"Lanca","F","1"
"Lance","M","1"
"Land","M","22"
"Land","F","1"
"Landa","F","200"
"Landa","M","1"
"Landar","M","1"
"Landea","F","1"
"Lander","M","2"
"Landeta","F","1"
"Landë","F","2"
"Landi","M","298"
"Landi","F","8"
"Landie","F","8"
"Landije","F","1"
"Landimir","M","2"
"Landina","F","1"
"Landiona","F","1"
"Landjana","F","1"
"Lando","M","1"
"Landosh","M","5"
"Landra","F","1"
"Landri","M","5"
"Landrit","M","2"
"Landro","M","5"
"Landuart","M","1"
"Landuela","F","1"
"Lane","F","113"
"Lane","M","21"
"Lanelane","M","1"
"Lanë","F","1"
"Langert","M","1"
"Lani","M","18"
"Lani","F","1"
"Lanilda","F","1"
"Lanim","M","9"
"Lanisa","F","1"
"Lannda","F","1"
"Lanora","F","3"
"Lanore","F","1"
"Lantan","M","1"
"Lantiljana","F","1"
"Lantjana","F","1"
"Lantola","F","1"
"Lantona","F","2"
"Lany","M","1"
"Lanjando","M","1"
"Lao","M","1"
"Laoda","F","1"
"Laoena","F","1"
"Laokoont","M","1"
"Laonela","F","2"
"Laonora","F","1"
"Laora","F","55"
"Laora","M","1"
"Laoren","M","2"
"Laorena","F","3"
"Laorenc","M","4"
"Laorenc","F","1"
"Laorenca","F","2"
"Laorent","M","2"
"Laoreta","F","18"
"Laos","M","3"
"Lapi","M","1"
"Laqe","F","11"
"Lara","F","5"
"Lard","M","1"
"Larda","F","2"
"Lardi","M","5"
"Lardjan","M","1"
"Lare","F","2"
"Lared","M","2"
"Laredina","F","2"
"Laredo","M","1"
"Larela","F","1"
"Laren","M","1"
"Larenc","M","2"
"Larensa","F","1"
"Larent","M","4"
"Larenta","F","1"
"Laresa","F","2"
"Laresh","F","1"
"Laret","M","1"
"Lareta","M","1"
"Largelinda","F","1"
"Largeta","F","1"
"Largim","M","1"
"Largime","F","9"
"Largine","F","1"
"Larglind","F","1"
"Largus","F","1"
"Laridi","M","1"
"Larika","F","1"
"Larime","F","1"
"Lariqe","F","1"
